id,tweet_text,tweet_sentiment,likes,retweets,article_text,topic_predicted,patient_post,primary_emotion,google_search_index,month,youtube_comment,comment_sentiment,video_likes,video_views
123,My mom is a breast cancer survivor. Stay strong everyone!,negative,140,183,Research funding continues to support breakthroughs in oncology.,screening & mammogram,Breast cancer awareness saves lives. Early detection matters!,anger,74,May,Thanks for spreading awareness.,negative,5241,197042
124,October is Breast Cancer Awareness Month. Spread positivity!,negative,443,148,Survivor stories encourage thousands of women to undergo screening.,survivor stories,Research funding continues to support breakthroughs in oncology.,trust,87,Aug,Such a powerful survivor story!,negative,8285,189367
125,New treatment options bring hope to many women.,positive,29,128,"Hospital experiences vary, but timely care remains a critical factor.",research & funding,Feeling scared about my screening results.,trust,97,Feb,Important topic; more people should watch this.,positive,7836,27520
126,Research funding for breast cancer is essential.,neutral,210,35,Research funding continues to support breakthroughs in oncology.,awareness campaign,New treatment options bring hope to many women.,joy,51,Nov,Important topic; more people should watch this.,positive,9714,197015
127,I just had a mammogram today. Hoping for the best.,neutral,470,59,Research funding continues to support breakthroughs in oncology.,screening & mammogram,Breast cancer is a leading health concern among women worldwide. Awareness campaigns promote early screening.,anger,98,Jan,Thanks for spreading awareness.,neutral,8397,136801
128,Feeling scared about my screening results.,neutral,308,76,Recent advancements in treatment have significantly improved recovery rates.,hospital experience,Feeling scared about my screening results.,fear,40,Aug,I cried watching this. So moving.,positive,7774,62675
129,I just had a mammogram today. Hoping for the best.,negative,494,188,Research funding continues to support breakthroughs in oncology.,research & funding,Mammograms and clinical breast exams are primary tools for early detection.,sadness,53,Sep,I cried watching this. So moving.,neutral,2532,140612
130,October is Breast Cancer Awareness Month. Spread positivity!,neutral,241,158,Mammograms and clinical breast exams are primary tools for early detection.,screening & mammogram,My mom is a breast cancer survivor. Stay strong everyone!,fear,98,Jan,Very informative explanation of mammograms.,neutral,9794,51099
131,October is Breast Cancer Awareness Month. Spread positivity!,neutral,4,136,"Hospital experiences vary, but timely care remains a critical factor.",survivor stories,I just had a mammogram today. Hoping for the best.,anger,81,May,Such a powerful survivor story!,neutral,9697,130855
132,I just had a mammogram today. Hoping for the best.,positive,330,108,Research funding continues to support breakthroughs in oncology.,treatment discussions,Mammograms and clinical breast exams are primary tools for early detection.,anger,41,Oct,Very informative explanation of mammograms.,positive,3678,18759
133,I just had a mammogram today. Hoping for the best.,neutral,169,145,Survivor stories encourage thousands of women to undergo screening.,survivor stories,New treatment options bring hope to many women.,joy,85,Sep,Thanks for spreading awareness.,negative,9090,161670
134,Research funding for breast cancer is essential.,positive,433,127,Recent advancements in treatment have significantly improved recovery rates.,screening & mammogram,"Hospital experiences vary, but timely care remains a critical factor.",joy,69,Jul,Thanks for spreading awareness.,neutral,8754,124402
135,Research funding for breast cancer is essential.,neutral,439,85,Mammograms and clinical breast exams are primary tools for early detection.,awareness campaign,Breast cancer awareness saves lives. Early detection matters!,joy,71,Oct,Important topic; more people should watch this.,positive,1605,96382
136,Breast cancer awareness saves lives. Early detection matters!,positive,303,50,"Hospital experiences vary, but timely care remains a critical factor.",hospital experience,Survivor stories encourage thousands of women to undergo screening.,sadness,28,Jun,Thanks for spreading awareness.,neutral,2271,13517
137,New treatment options bring hope to many women.,neutral,264,124,"Hospital experiences vary, but timely care remains a critical factor.",screening & mammogram,I just had a mammogram today. Hoping for the best.,sadness,32,Mar,Very informative explanation of mammograms.,negative,6258,48555
138,Research funding for breast cancer is essential.,neutral,458,16,"Hospital experiences vary, but timely care remains a critical factor.",awareness campaign,Recent advancements in treatment have significantly improved recovery rates.,sadness,45,May,This video changed my perspective on breast cancer.,neutral,7064,37083
139,Breast cancer awareness saves lives. Early detection matters!,positive,340,174,Breast cancer is a leading health concern among women worldwide. Awareness campaigns promote early screening.,screening & mammogram,Breast cancer is a leading health concern among women worldwide. Awareness campaigns promote early screening.,sadness,39,Sep,This video changed my perspective on breast cancer.,neutral,324,146765
140,I just had a mammogram today. Hoping for the best.,negative,394,61,Recent advancements in treatment have significantly improved recovery rates.,screening & mammogram,New treatment options bring hope to many women.,fear,54,Nov,Important topic; more people should watch this.,positive,7465,8850
141,I just had a mammogram today. Hoping for the best.,positive,209,161,Survivor stories encourage thousands of women to undergo screening.,treatment discussions,Research funding continues to support breakthroughs in oncology.,joy,20,Sep,I cried watching this. So moving.,neutral,8419,199684
142,Breast cancer awareness saves lives. Early detection matters!,neutral,24,157,Survivor stories encourage thousands of women to undergo screening.,hospital experience,Breast cancer awareness saves lives. Early detection matters!,fear,48,Sep,Thanks for spreading awareness.,neutral,9600,76852
143,October is Breast Cancer Awareness Month. Spread positivity!,positive,457,80,Recent advancements in treatment have significantly improved recovery rates.,survivor stories,Recent advancements in treatment have significantly improved recovery rates.,anticipation,60,Dec,Thanks for spreading awareness.,neutral,7823,89539
144,Breast cancer awareness saves lives. Early detection matters!,positive,116,199,Recent advancements in treatment have significantly improved recovery rates.,screening & mammogram,I just had a mammogram today. Hoping for the best.,anticipation,51,Sep,Important topic; more people should watch this.,positive,9474,123422
145,Research funding for breast cancer is essential.,positive,249,164,Survivor stories encourage thousands of women to undergo screening.,screening & mammogram,Breast cancer awareness saves lives. Early detection matters!,joy,36,May,Such a powerful survivor story!,neutral,1407,20077
146,My mom is a breast cancer survivor. Stay strong everyone!,positive,37,137,Breast cancer is a leading health concern among women worldwide. Awareness campaigns promote early screening.,survivor stories,My mom is a breast cancer survivor. Stay strong everyone!,fear,74,Jul,Important topic; more people should watch this.,positive,8464,197430
147,I just had a mammogram today. Hoping for the best.,neutral,110,111,"Hospital experiences vary, but timely care remains a critical factor.",treatment discussions,Survivor stories encourage thousands of women to undergo screening.,joy,25,Apr,Very informative explanation of mammograms.,neutral,7096,107577
148,I just had a mammogram today. Hoping for the best.,negative,272,172,Recent advancements in treatment have significantly improved recovery rates.,survivor stories,Research funding for breast cancer is essential.,joy,54,Nov,Important topic; more people should watch this.,positive,3432,46493
149,Research funding for breast cancer is essential.,negative,470,4,Research funding continues to support breakthroughs in oncology.,survivor stories,New treatment options bring hope to many women.,trust,97,Oct,Very informative explanation of mammograms.,neutral,1975,7331
150,October is Breast Cancer Awareness Month. Spread positivity!,neutral,56,190,Breast cancer is a leading health concern among women worldwide. Awareness campaigns promote early screening.,screening & mammogram,Research funding continues to support breakthroughs in oncology.,joy,87,Dec,Such a powerful survivor story!,negative,8034,51551
151,New treatment options bring hope to many women.,neutral,476,149,Research funding continues to support breakthroughs in oncology.,survivor stories,October is Breast Cancer Awareness Month. Spread positivity!,anticipation,69,Jan,I cried watching this. So moving.,negative,5728,142951
152,I just had a mammogram today. Hoping for the best.,positive,272,130,Research funding continues to support breakthroughs in oncology.,survivor stories,I just had a mammogram today. Hoping for the best.,fear,21,Oct,Thanks for spreading awareness.,positive,1093,153705
153,New treatment options bring hope to many women.,positive,54,105,Research funding continues to support breakthroughs in oncology.,awareness campaign,I just had a mammogram today. Hoping for the best.,anger,31,Feb,Very informative explanation of mammograms.,positive,1060,40458
154,My mom is a breast cancer survivor. Stay strong everyone!,positive,12,73,Recent advancements in treatment have significantly improved recovery rates.,hospital experience,"Hospital experiences vary, but timely care remains a critical factor.",joy,47,Mar,Such a powerful survivor story!,neutral,9861,137752
155,My mom is a breast cancer survivor. Stay strong everyone!,neutral,341,162,Research funding continues to support breakthroughs in oncology.,screening & mammogram,Recent advancements in treatment have significantly improved recovery rates.,anticipation,46,Dec,Thanks for spreading awareness.,positive,4578,32097
156,Research funding for breast cancer is essential.,negative,250,108,Breast cancer is a leading health concern among women worldwide. Awareness campaigns promote early screening.,screening & mammogram,New treatment options bring hope to many women.,fear,57,Nov,This video changed my perspective on breast cancer.,neutral,964,79359
157,Research funding for breast cancer is essential.,positive,486,13,Breast cancer is a leading health concern among women worldwide. Awareness campaigns promote early screening.,awareness campaign,Feeling scared about my screening results.,trust,70,Feb,This video changed my perspective on breast cancer.,negative,9360,113679
158,I just had a mammogram today. Hoping for the best.,negative,31,71,Survivor stories encourage thousands of women to undergo screening.,screening & mammogram,Survivor stories encourage thousands of women to undergo screening.,anticipation,23,Sep,Very informative explanation of mammograms.,negative,8983,155466
159,Breast cancer awareness saves lives. Early detection matters!,neutral,47,88,Breast cancer is a leading health concern among women worldwide. Awareness campaigns promote early screening.,research & funding,Research funding for breast cancer is essential.,joy,51,Oct,Thanks for spreading awareness.,negative,3681,38244
160,October is Breast Cancer Awareness Month. Spread positivity!,neutral,391,100,Mammograms and clinical breast exams are primary tools for early detection.,awareness campaign,My mom is a breast cancer survivor. Stay strong everyone!,sadness,27,Oct,This video changed my perspective on breast cancer.,neutral,5903,153634
161,Feeling scared about my screening results.,negative,195,13,Research funding continues to support breakthroughs in oncology.,awareness campaign,Breast cancer is a leading health concern among women worldwide. Awareness campaigns promote early screening.,joy,65,Jul,This video changed my perspective on breast cancer.,neutral,3836,131369
162,Feeling scared about my screening results.,negative,422,168,Mammograms and clinical breast exams are primary tools for early detection.,awareness campaign,Mammograms and clinical breast exams are primary tools for early detection.,trust,49,May,Such a powerful survivor story!,positive,1298,32213
163,Research funding for breast cancer is essential.,positive,289,130,"Hospital experiences vary, but timely care remains a critical factor.",hospital experience,"Hospital experiences vary, but timely care remains a critical factor.",sadness,80,May,This video changed my perspective on breast cancer.,negative,6667,126075
164,Breast cancer awareness saves lives. Early detection matters!,neutral,435,13,Recent advancements in treatment have significantly improved recovery rates.,awareness campaign,October is Breast Cancer Awareness Month. Spread positivity!,anger,86,Jun,Thanks for spreading awareness.,negative,6666,199382
165,Feeling scared about my screening results.,neutral,487,147,Survivor stories encourage thousands of women to undergo screening.,screening & mammogram,New treatment options bring hope to many women.,joy,61,May,Thanks for spreading awareness.,neutral,181,164111
166,Feeling scared about my screening results.,positive,28,184,Research funding continues to support breakthroughs in oncology.,research & funding,Feeling scared about my screening results.,joy,31,Apr,Important topic; more people should watch this.,negative,8479,89566
167,I just had a mammogram today. Hoping for the best.,neutral,46,46,Mammograms and clinical breast exams are primary tools for early detection.,screening & mammogram,My mom is a breast cancer survivor. Stay strong everyone!,trust,72,Oct,Important topic; more people should watch this.,negative,4080,59383
168,My mom is a breast cancer survivor. Stay strong everyone!,negative,478,47,Survivor stories encourage thousands of women to undergo screening.,awareness campaign,Research funding continues to support breakthroughs in oncology.,joy,63,Oct,Important topic; more people should watch this.,positive,6295,34734
169,Breast cancer awareness saves lives. Early detection matters!,negative,148,91,Mammograms and clinical breast exams are primary tools for early detection.,research & funding,Breast cancer awareness saves lives. Early detection matters!,joy,84,Jan,Very informative explanation of mammograms.,neutral,3586,165966
170,New treatment options bring hope to many women.,neutral,484,73,"Hospital experiences vary, but timely care remains a critical factor.",survivor stories,Feeling scared about my screening results.,anticipation,36,Mar,I cried watching this. So moving.,positive,2929,197277
171,Breast cancer awareness saves lives. Early detection matters!,positive,321,23,Research funding continues to support breakthroughs in oncology.,hospital experience,Recent advancements in treatment have significantly improved recovery rates.,trust,77,Apr,Important topic; more people should watch this.,neutral,5740,173224
172,Feeling scared about my screening results.,neutral,26,167,Mammograms and clinical breast exams are primary tools for early detection.,research & funding,Research funding continues to support breakthroughs in oncology.,joy,23,Feb,Very informative explanation of mammograms.,positive,1878,157308
173,October is Breast Cancer Awareness Month. Spread positivity!,negative,433,76,Survivor stories encourage thousands of women to undergo screening.,survivor stories,Breast cancer awareness saves lives. Early detection matters!,trust,23,Aug,I cried watching this. So moving.,negative,4022,54037
174,Research funding for breast cancer is essential.,neutral,488,193,Survivor stories encourage thousands of women to undergo screening.,survivor stories,"Hospital experiences vary, but timely care remains a critical factor.",joy,38,Aug,Important topic; more people should watch this.,negative,9331,101068
175,New treatment options bring hope to many women.,neutral,143,95,Survivor stories encourage thousands of women to undergo screening.,research & funding,October is Breast Cancer Awareness Month. Spread positivity!,anger,25,Nov,Such a powerful survivor story!,negative,9568,100226
176,Feeling scared about my screening results.,positive,489,124,"Hospital experiences vary, but timely care remains a critical factor.",awareness campaign,Research funding for breast cancer is essential.,joy,74,May,Very informative explanation of mammograms.,positive,446,11477
177,Feeling scared about my screening results.,neutral,456,87,Research funding continues to support breakthroughs in oncology.,hospital experience,Research funding continues to support breakthroughs in oncology.,joy,77,Jul,Thanks for spreading awareness.,positive,1188,100752
178,New treatment options bring hope to many women.,negative,160,172,Research funding continues to support breakthroughs in oncology.,research & funding,I just had a mammogram today. Hoping for the best.,anticipation,38,Jan,Important topic; more people should watch this.,positive,2602,10631
179,New treatment options bring hope to many women.,positive,7,169,Breast cancer is a leading health concern among women worldwide. Awareness campaigns promote early screening.,research & funding,Feeling scared about my screening results.,trust,49,Mar,Important topic; more people should watch this.,neutral,9308,32192
180,Feeling scared about my screening results.,negative,216,64,"Hospital experiences vary, but timely care remains a critical factor.",hospital experience,Survivor stories encourage thousands of women to undergo screening.,trust,54,Jul,This video changed my perspective on breast cancer.,positive,181,197146
181,Breast cancer awareness saves lives. Early detection matters!,negative,302,164,Survivor stories encourage thousands of women to undergo screening.,screening & mammogram,October is Breast Cancer Awareness Month. Spread positivity!,anger,25,Dec,I cried watching this. So moving.,negative,1899,30335
182,New treatment options bring hope to many women.,neutral,349,16,Survivor stories encourage thousands of women to undergo screening.,research & funding,"Hospital experiences vary, but timely care remains a critical factor.",sadness,93,Nov,Thanks for spreading awareness.,positive,6810,16511
183,New treatment options bring hope to many women.,neutral,162,47,"Hospital experiences vary, but timely care remains a critical factor.",survivor stories,Research funding for breast cancer is essential.,sadness,43,Jan,This video changed my perspective on breast cancer.,negative,306,119946
184,My mom is a breast cancer survivor. Stay strong everyone!,negative,191,142,Breast cancer is a leading health concern among women worldwide. Awareness campaigns promote early screening.,screening & mammogram,Breast cancer is a leading health concern among women worldwide. Awareness campaigns promote early screening.,anger,47,Dec,I cried watching this. So moving.,positive,5697,48878
185,Research funding for breast cancer is essential.,neutral,370,154,Survivor stories encourage thousands of women to undergo screening.,treatment discussions,I just had a mammogram today. Hoping for the best.,joy,77,Feb,Such a powerful survivor story!,negative,1116,48675
186,October is Breast Cancer Awareness Month. Spread positivity!,positive,235,75,Survivor stories encourage thousands of women to undergo screening.,treatment discussions,October is Breast Cancer Awareness Month. Spread positivity!,fear,89,Jul,This video changed my perspective on breast cancer.,neutral,2391,186187
187,New treatment options bring hope to many women.,positive,375,86,Survivor stories encourage thousands of women to undergo screening.,awareness campaign,Research funding for breast cancer is essential.,fear,79,Apr,Such a powerful survivor story!,positive,9473,17559
188,New treatment options bring hope to many women.,negative,446,154,Recent advancements in treatment have significantly improved recovery rates.,survivor stories,"Hospital experiences vary, but timely care remains a critical factor.",anger,29,Jan,Such a powerful survivor story!,neutral,7027,55074
189,October is Breast Cancer Awareness Month. Spread positivity!,neutral,25,142,Mammograms and clinical breast exams are primary tools for early detection.,screening & mammogram,Breast cancer awareness saves lives. Early detection matters!,anticipation,55,Dec,Very informative explanation of mammograms.,positive,2917,93250
190,New treatment options bring hope to many women.,neutral,180,56,Survivor stories encourage thousands of women to undergo screening.,treatment discussions,Recent advancements in treatment have significantly improved recovery rates.,anger,65,Aug,Important topic; more people should watch this.,neutral,3027,15892
191,I just had a mammogram today. Hoping for the best.,neutral,203,65,Recent advancements in treatment have significantly improved recovery rates.,survivor stories,I just had a mammogram today. Hoping for the best.,sadness,94,Oct,Such a powerful survivor story!,neutral,6239,106069
192,Research funding for breast cancer is essential.,positive,345,102,Research funding continues to support breakthroughs in oncology.,research & funding,Research funding for breast cancer is essential.,joy,97,Feb,Such a powerful survivor story!,neutral,5671,118672
193,October is Breast Cancer Awareness Month. Spread positivity!,neutral,0,172,Mammograms and clinical breast exams are primary tools for early detection.,hospital experience,Research funding for breast cancer is essential.,anger,85,Jul,Such a powerful survivor story!,negative,1025,89646
194,My mom is a breast cancer survivor. Stay strong everyone!,neutral,9,194,Recent advancements in treatment have significantly improved recovery rates.,hospital experience,Feeling scared about my screening results.,trust,99,Mar,This video changed my perspective on breast cancer.,positive,2135,152849
195,I just had a mammogram today. Hoping for the best.,positive,80,78,Mammograms and clinical breast exams are primary tools for early detection.,survivor stories,New treatment options bring hope to many women.,sadness,29,Jul,Very informative explanation of mammograms.,positive,395,63772
196,My mom is a breast cancer survivor. Stay strong everyone!,neutral,281,1,Survivor stories encourage thousands of women to undergo screening.,research & funding,Breast cancer awareness saves lives. Early detection matters!,anticipation,62,Sep,Such a powerful survivor story!,neutral,123,82195
197,October is Breast Cancer Awareness Month. Spread positivity!,positive,41,18,Recent advancements in treatment have significantly improved recovery rates.,awareness campaign,New treatment options bring hope to many women.,anger,88,Jan,Such a powerful survivor story!,neutral,9271,16609
198,My mom is a breast cancer survivor. Stay strong everyone!,negative,356,181,"Hospital experiences vary, but timely care remains a critical factor.",research & funding,Feeling scared about my screening results.,fear,58,Jul,I cried watching this. So moving.,positive,3200,86388
199,I just had a mammogram today. Hoping for the best.,positive,85,190,Breast cancer is a leading health concern among women worldwide. Awareness campaigns promote early screening.,treatment discussions,Breast cancer awareness saves lives. Early detection matters!,fear,69,Jan,Thanks for spreading awareness.,neutral,2516,182430
200,My mom is a breast cancer survivor. Stay strong everyone!,negative,208,45,"Hospital experiences vary, but timely care remains a critical factor.",screening & mammogram,October is Breast Cancer Awareness Month. Spread positivity!,fear,27,Oct,Important topic; more people should watch this.,negative,7286,194135
201,I just had a mammogram today. Hoping for the best.,neutral,398,111,Recent advancements in treatment have significantly improved recovery rates.,survivor stories,Research funding continues to support breakthroughs in oncology.,anger,87,Aug,Very informative explanation of mammograms.,positive,1109,68797
202,October is Breast Cancer Awareness Month. Spread positivity!,positive,485,177,Mammograms and clinical breast exams are primary tools for early detection.,research & funding,"Hospital experiences vary, but timely care remains a critical factor.",trust,48,Aug,This video changed my perspective on breast cancer.,positive,2275,153628
203,Research funding for breast cancer is essential.,positive,492,128,Research funding continues to support breakthroughs in oncology.,treatment discussions,Mammograms and clinical breast exams are primary tools for early detection.,sadness,81,Mar,This video changed my perspective on breast cancer.,negative,4968,51367
204,New treatment options bring hope to many women.,positive,159,78,Survivor stories encourage thousands of women to undergo screening.,research & funding,"Hospital experiences vary, but timely care remains a critical factor.",fear,82,Sep,Very informative explanation of mammograms.,neutral,1964,54311
205,I just had a mammogram today. Hoping for the best.,neutral,258,20,Recent advancements in treatment have significantly improved recovery rates.,survivor stories,October is Breast Cancer Awareness Month. Spread positivity!,trust,59,Aug,Very informative explanation of mammograms.,negative,3538,154782
206,New treatment options bring hope to many women.,negative,460,26,Breast cancer is a leading health concern among women worldwide. Awareness campaigns promote early screening.,awareness campaign,Research funding continues to support breakthroughs in oncology.,fear,53,Feb,Important topic; more people should watch this.,neutral,9374,131457
207,My mom is a breast cancer survivor. Stay strong everyone!,neutral,341,189,Recent advancements in treatment have significantly improved recovery rates.,screening & mammogram,Research funding for breast cancer is essential.,joy,30,May,Thanks for spreading awareness.,positive,5002,193160
208,October is Breast Cancer Awareness Month. Spread positivity!,negative,465,178,Survivor stories encourage thousands of women to undergo screening.,hospital experience,I just had a mammogram today. Hoping for the best.,trust,64,Nov,Very informative explanation of mammograms.,positive,5531,127768
209,Feeling scared about my screening results.,neutral,268,73,Survivor stories encourage thousands of women to undergo screening.,hospital experience,"Hospital experiences vary, but timely care remains a critical factor.",anticipation,38,Mar,I cried watching this. So moving.,negative,9968,30600
210,New treatment options bring hope to many women.,negative,47,5,Research funding continues to support breakthroughs in oncology.,research & funding,Breast cancer awareness saves lives. Early detection matters!,anger,30,Aug,This video changed my perspective on breast cancer.,positive,5936,118823
211,Breast cancer awareness saves lives. Early detection matters!,neutral,465,91,Survivor stories encourage thousands of women to undergo screening.,awareness campaign,Recent advancements in treatment have significantly improved recovery rates.,fear,95,Nov,Very informative explanation of mammograms.,positive,8769,160183
212,New treatment options bring hope to many women.,neutral,50,47,Breast cancer is a leading health concern among women worldwide. Awareness campaigns promote early screening.,research & funding,Feeling scared about my screening results.,anticipation,39,Sep,Very informative explanation of mammograms.,positive,7353,25761
213,New treatment options bring hope to many women.,negative,153,185,Mammograms and clinical breast exams are primary tools for early detection.,research & funding,Survivor stories encourage thousands of women to undergo screening.,sadness,72,Jan,This video changed my perspective on breast cancer.,positive,5169,80726
214,Breast cancer awareness saves lives. Early detection matters!,neutral,480,169,Survivor stories encourage thousands of women to undergo screening.,survivor stories,Research funding continues to support breakthroughs in oncology.,fear,65,Jun,Thanks for spreading awareness.,positive,7884,102087
215,New treatment options bring hope to many women.,positive,9,58,Survivor stories encourage thousands of women to undergo screening.,survivor stories,Mammograms and clinical breast exams are primary tools for early detection.,trust,54,Oct,Very informative explanation of mammograms.,negative,3614,6565
216,Breast cancer awareness saves lives. Early detection matters!,negative,354,91,Breast cancer is a leading health concern among women worldwide. Awareness campaigns promote early screening.,research & funding,Mammograms and clinical breast exams are primary tools for early detection.,trust,91,Dec,Very informative explanation of mammograms.,neutral,4253,5703
217,I just had a mammogram today. Hoping for the best.,negative,492,179,Research funding continues to support breakthroughs in oncology.,treatment discussions,Breast cancer awareness saves lives. Early detection matters!,anger,99,Apr,Thanks for spreading awareness.,negative,554,126512
218,Breast cancer awareness saves lives. Early detection matters!,neutral,80,55,Survivor stories encourage thousands of women to undergo screening.,survivor stories,I just had a mammogram today. Hoping for the best.,sadness,84,Nov,Important topic; more people should watch this.,negative,9075,170048
219,Research funding for breast cancer is essential.,positive,324,21,Survivor stories encourage thousands of women to undergo screening.,treatment discussions,My mom is a breast cancer survivor. Stay strong everyone!,trust,70,Jul,Important topic; more people should watch this.,neutral,7107,24296
220,October is Breast Cancer Awareness Month. Spread positivity!,negative,20,120,"Hospital experiences vary, but timely care remains a critical factor.",research & funding,Survivor stories encourage thousands of women to undergo screening.,sadness,79,Apr,This video changed my perspective on breast cancer.,neutral,2780,181803
221,Breast cancer awareness saves lives. Early detection matters!,neutral,181,90,Recent advancements in treatment have significantly improved recovery rates.,screening & mammogram,Research funding for breast cancer is essential.,fear,85,Jul,This video changed my perspective on breast cancer.,positive,3861,135404
222,New treatment options bring hope to many women.,neutral,31,169,Breast cancer is a leading health concern among women worldwide. Awareness campaigns promote early screening.,survivor stories,Recent advancements in treatment have significantly improved recovery rates.,anger,28,Jul,Important topic; more people should watch this.,positive,5404,31687
223,October is Breast Cancer Awareness Month. Spread positivity!,negative,43,137,"Hospital experiences vary, but timely care remains a critical factor.",awareness campaign,My mom is a breast cancer survivor. Stay strong everyone!,fear,37,Mar,Such a powerful survivor story!,neutral,637,142833
224,October is Breast Cancer Awareness Month. Spread positivity!,neutral,448,153,"Hospital experiences vary, but timely care remains a critical factor.",treatment discussions,"Hospital experiences vary, but timely care remains a critical factor.",sadness,46,May,I cried watching this. So moving.,negative,5817,192810
225,My mom is a breast cancer survivor. Stay strong everyone!,positive,174,37,Survivor stories encourage thousands of women to undergo screening.,awareness campaign,I just had a mammogram today. Hoping for the best.,sadness,34,Aug,Very informative explanation of mammograms.,negative,843,91620
226,Research funding for breast cancer is essential.,negative,411,119,Research funding continues to support breakthroughs in oncology.,research & funding,October is Breast Cancer Awareness Month. Spread positivity!,fear,26,Mar,Important topic; more people should watch this.,positive,5781,158849
227,Research funding for breast cancer is essential.,positive,161,133,Recent advancements in treatment have significantly improved recovery rates.,survivor stories,My mom is a breast cancer survivor. Stay strong everyone!,fear,20,Oct,This video changed my perspective on breast cancer.,negative,9713,161394
228,Research funding for breast cancer is essential.,negative,301,101,Breast cancer is a leading health concern among women worldwide. Awareness campaigns promote early screening.,treatment discussions,Research funding continues to support breakthroughs in oncology.,anticipation,74,Apr,Thanks for spreading awareness.,positive,6874,168919
229,I just had a mammogram today. Hoping for the best.,neutral,464,87,Mammograms and clinical breast exams are primary tools for early detection.,research & funding,Mammograms and clinical breast exams are primary tools for early detection.,sadness,94,Aug,Such a powerful survivor story!,negative,2997,131361
230,I just had a mammogram today. Hoping for the best.,neutral,471,84,Survivor stories encourage thousands of women to undergo screening.,awareness campaign,Research funding continues to support breakthroughs in oncology.,joy,62,Feb,Very informative explanation of mammograms.,negative,6012,54616
231,October is Breast Cancer Awareness Month. Spread positivity!,positive,7,179,Research funding continues to support breakthroughs in oncology.,hospital experience,Survivor stories encourage thousands of women to undergo screening.,joy,28,Aug,Such a powerful survivor story!,negative,9502,91060
232,My mom is a breast cancer survivor. Stay strong everyone!,negative,389,96,"Hospital experiences vary, but timely care remains a critical factor.",awareness campaign,Recent advancements in treatment have significantly improved recovery rates.,joy,44,Jan,Very informative explanation of mammograms.,positive,6822,189878
233,New treatment options bring hope to many women.,negative,243,109,Recent advancements in treatment have significantly improved recovery rates.,awareness campaign,"Hospital experiences vary, but timely care remains a critical factor.",sadness,60,Jan,Such a powerful survivor story!,neutral,6298,21090
234,I just had a mammogram today. Hoping for the best.,positive,369,175,"Hospital experiences vary, but timely care remains a critical factor.",treatment discussions,New treatment options bring hope to many women.,sadness,72,Jul,Such a powerful survivor story!,negative,8741,168298
235,New treatment options bring hope to many women.,neutral,277,77,Research funding continues to support breakthroughs in oncology.,screening & mammogram,October is Breast Cancer Awareness Month. Spread positivity!,trust,89,Jan,Very informative explanation of mammograms.,negative,6758,25759
236,Research funding for breast cancer is essential.,neutral,352,124,Breast cancer is a leading health concern among women worldwide. Awareness campaigns promote early screening.,survivor stories,Mammograms and clinical breast exams are primary tools for early detection.,fear,83,Sep,Thanks for spreading awareness.,negative,1134,36507
237,New treatment options bring hope to many women.,negative,287,41,Breast cancer is a leading health concern among women worldwide. Awareness campaigns promote early screening.,research & funding,Feeling scared about my screening results.,fear,52,Feb,Such a powerful survivor story!,neutral,4783,70590
238,October is Breast Cancer Awareness Month. Spread positivity!,neutral,478,151,Research funding continues to support breakthroughs in oncology.,screening & mammogram,Mammograms and clinical breast exams are primary tools for early detection.,fear,85,May,This video changed my perspective on breast cancer.,negative,994,147590
239,Feeling scared about my screening results.,negative,338,63,Research funding continues to support breakthroughs in oncology.,treatment discussions,Feeling scared about my screening results.,anticipation,36,Jul,Important topic; more people should watch this.,positive,552,19220
240,Feeling scared about my screening results.,negative,51,111,"Hospital experiences vary, but timely care remains a critical factor.",hospital experience,Survivor stories encourage thousands of women to undergo screening.,anticipation,29,Feb,Important topic; more people should watch this.,negative,1934,22068
241,My mom is a breast cancer survivor. Stay strong everyone!,neutral,155,41,Survivor stories encourage thousands of women to undergo screening.,survivor stories,Breast cancer awareness saves lives. Early detection matters!,trust,59,Apr,Thanks for spreading awareness.,neutral,3125,111492
242,New treatment options bring hope to many women.,positive,2,3,Research funding continues to support breakthroughs in oncology.,awareness campaign,Breast cancer is a leading health concern among women worldwide. Awareness campaigns promote early screening.,fear,27,Sep,This video changed my perspective on breast cancer.,neutral,290,77616
243,New treatment options bring hope to many women.,neutral,197,71,Survivor stories encourage thousands of women to undergo screening.,awareness campaign,Breast cancer is a leading health concern among women worldwide. Awareness campaigns promote early screening.,anticipation,80,Oct,This video changed my perspective on breast cancer.,neutral,1552,31717
244,I just had a mammogram today. Hoping for the best.,positive,415,92,Breast cancer is a leading health concern among women worldwide. Awareness campaigns promote early screening.,treatment discussions,I just had a mammogram today. Hoping for the best.,sadness,59,May,I cried watching this. So moving.,neutral,6509,169046
245,October is Breast Cancer Awareness Month. Spread positivity!,neutral,87,21,"Hospital experiences vary, but timely care remains a critical factor.",awareness campaign,Recent advancements in treatment have significantly improved recovery rates.,sadness,65,Mar,This video changed my perspective on breast cancer.,positive,3006,48634
246,October is Breast Cancer Awareness Month. Spread positivity!,neutral,32,82,Mammograms and clinical breast exams are primary tools for early detection.,treatment discussions,Breast cancer awareness saves lives. Early detection matters!,joy,83,May,This video changed my perspective on breast cancer.,negative,6506,27909
